city,series,event_ticker,ticker,target_date,strike_type,floor_strike,cap_strike,expiration_value,result,last_price_dollars,previous_yes_bid_dollars,previous_yes_ask_dollars,open_time,close_time,settlement_ts,subtitle,volume_fp
ATL,KXHIGHTATL,KXHIGHTATL-26MAR01,KXHIGHTATL-26MAR01-B72.5,2026-03-01,between,72,73,78.00,no,0.0100,0.0000,1.0000,2026-02-28T15:00:00Z,2026-03-02T05:00:00Z,2026-03-02T12:32:26.799701Z,,11077.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR01,KXHIGHTATL-26MAR01-B74.5,2026-03-01,between,74,75,78.00,no,0.0100,0.0000,1.0000,2026-02-28T15:00:00Z,2026-03-02T05:00:00Z,2026-03-02T12:32:26.799701Z,,13201.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR01,KXHIGHTATL-26MAR01-B76.5,2026-03-01,between,76,77,78.00,no,0.0100,0.0000,1.0000,2026-02-28T15:00:00Z,2026-03-02T05:00:00Z,2026-03-02T12:32:26.799701Z,,16501.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR01,KXHIGHTATL-26MAR01-B78.5,2026-03-01,between,78,79,78.00,yes,0.9900,0.0000,1.0000,2026-02-28T15:00:00Z,2026-03-02T05:00:00Z,2026-03-02T12:32:26.799701Z,,19278.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR01,KXHIGHTATL-26MAR01-T72,2026-03-01,less,,72,78.00,no,0.0100,0.0000,1.0000,2026-02-28T15:00:00Z,2026-03-02T05:00:00Z,2026-03-02T12:32:26.799701Z,,2717.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR01,KXHIGHTATL-26MAR01-T79,2026-03-01,greater,79,,78.00,no,0.0100,0.0000,1.0000,2026-02-28T15:00:00Z,2026-03-02T05:00:00Z,2026-03-02T12:32:26.799701Z,,11823.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR02,KXHIGHTATL-26MAR02-B62.5,2026-03-02,between,62,63,77.00,no,0.0100,0.0000,1.0000,2026-03-01T15:00:00Z,2026-03-03T05:00:00Z,2026-03-03T12:32:26.736331Z,,3293.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR02,KXHIGHTATL-26MAR02-B64.5,2026-03-02,between,64,65,77.00,no,0.0100,0.0000,1.0000,2026-03-01T15:00:00Z,2026-03-03T05:00:00Z,2026-03-03T12:32:26.736331Z,,5888.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR02,KXHIGHTATL-26MAR02-B66.5,2026-03-02,between,66,67,77.00,no,0.0100,0.0000,1.0000,2026-03-01T15:00:00Z,2026-03-03T05:00:00Z,2026-03-03T12:32:26.736331Z,,7882.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR02,KXHIGHTATL-26MAR02-B68.5,2026-03-02,between,68,69,77.00,no,0.0100,0.0000,1.0000,2026-03-01T15:00:00Z,2026-03-03T05:00:00Z,2026-03-03T12:32:26.736331Z,,13719.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR02,KXHIGHTATL-26MAR02-T62,2026-03-02,less,,62,77.00,no,0.0100,0.0000,1.0000,2026-03-01T15:00:00Z,2026-03-03T05:00:00Z,2026-03-03T12:32:26.736331Z,,3058.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR02,KXHIGHTATL-26MAR02-T69,2026-03-02,greater,69,,77.00,yes,0.9900,0.0000,1.0000,2026-03-01T15:00:00Z,2026-03-03T05:00:00Z,2026-03-03T12:32:26.736331Z,,27050.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR03,KXHIGHTATL-26MAR03-B63.5,2026-03-03,between,63,64,63.00,yes,0.9900,0.0000,1.0000,2026-03-02T15:00:00Z,2026-03-04T05:00:00Z,2026-03-04T12:32:36.725955Z,,17817.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR03,KXHIGHTATL-26MAR03-B65.5,2026-03-03,between,65,66,63.00,no,0.0100,0.0000,1.0000,2026-03-02T15:00:00Z,2026-03-04T05:00:00Z,2026-03-04T12:32:36.725955Z,,14926.00
ATL,KXHIGHTATL,KXHIGHTATL-26MAR03,KXHIGHTATL-26MAR03-B67.5,2026-03-03,between,67,68,63.00,no,0.0100,0.0000,1.0000,2026-03-02T15:00:00Z,2026-03-04T05:00:00Z,2026-03-04T12:32:36.725955Z,,14542.00
