ticker,series,target_date,ts_end,mean_price,close_price,yes_bid_close,yes_ask_close,volume,open_interest
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772362800,0.4500,0.4500,0.4000,0.4600,27.00,1749.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772366400,0.4120,0.4200,0.4000,0.4100,1474.00,2690.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772370000,0.4011,0.4100,0.4200,0.4400,238.00,2863.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772373600,0.4310,0.4100,0.4000,0.4300,206.00,3026.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772377200,0.4087,0.4200,0.4100,0.4200,505.00,3207.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772380800,0.3899,0.3700,0.3600,0.3800,615.00,3480.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772384400,0.4923,0.5000,0.3900,0.5100,538.00,3804.00
KXHIGHTATL-26MAR01-B78.5,KXHIGHTATL,2026-03-01,1772388000,0.5220,0.5400,0.5300,0.5900,406.00,4127.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772362800,0.2953,0.3100,0.2800,0.3100,55.00,2363.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772366400,0.2889,0.2800,0.2900,0.3000,564.00,2071.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772370000,0.2877,0.2800,0.2700,0.2800,1109.00,2310.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772373600,0.2944,0.3400,0.2900,0.3300,1002.00,2316.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772377200,0.3343,0.3500,0.3100,0.3500,236.00,2511.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772380800,0.3739,0.3800,0.3700,0.3800,370.00,2849.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772384400,0.1812,0.1900,0.0700,0.2100,1211.00,2410.00
KXHIGHTATL-26MAR01-B76.5,KXHIGHTATL,2026-03-01,1772388000,0.2322,0.3200,0.2700,0.3000,494.00,2561.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772362800,,,0.0300,0.0400,0.00,1415.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772366400,0.0400,0.0400,0.0400,0.0500,5.00,1415.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772370000,0.0616,0.0700,0.0300,0.0900,2767.00,3872.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772373600,0.0683,0.0600,0.0500,0.0600,588.00,4291.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772377200,0.0500,0.0500,0.0400,0.0600,757.00,4370.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772380800,0.0322,0.0200,0.0200,0.0300,240.00,4538.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772384400,0.0177,0.0200,0.0200,0.0300,471.00,4905.00
KXHIGHTATL-26MAR01-B72.5,KXHIGHTATL,2026-03-01,1772388000,0.0116,0.0100,0.0000,0.0100,1634.00,5797.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772449200,0.8758,0.8800,0.8700,0.8900,657.00,4753.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772452800,0.8906,0.8900,0.8500,0.8600,62.00,4803.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772456400,0.8904,0.9400,0.9300,0.9400,993.00,5495.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772460000,0.8986,0.8900,0.8700,0.8900,3156.00,5984.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772463600,0.8873,0.9200,0.9100,0.9400,2105.00,7761.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772467200,0.9560,0.9800,0.9800,0.9900,2104.00,9559.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772470800,0.9897,0.9900,0.9900,1.0000,6623.00,15833.00
KXHIGHTATL-26MAR02-T69,KXHIGHTATL,2026-03-02,1772474400,0.9900,0.9900,0.9900,1.0000,780.00,16591.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772449200,,,0.0000,0.0200,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772452800,,,0.0000,0.0300,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772456400,,,0.0000,0.0100,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772460000,,,0.0000,0.0100,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772463600,,,0.0000,0.0100,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772467200,,,0.0000,0.0100,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772470800,,,0.0000,0.0100,0.00,2167.00
KXHIGHTATL-26MAR02-B62.5,KXHIGHTATL,2026-03-02,1772474400,,,0.0000,0.0100,0.00,2167.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772362800,0.1381,0.1500,0.1500,0.1600,75.00,3981.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772366400,0.1391,0.1400,0.1300,0.1400,47.00,4025.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772370000,0.1300,0.1200,0.1100,0.1200,755.00,4765.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772373600,0.1103,0.1200,0.1100,0.1200,60.00,4823.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772377200,0.1117,0.1100,0.1100,0.1200,107.00,4914.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772380800,0.1178,0.1100,0.1100,0.1200,51.00,4961.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772384400,0.1645,0.2000,0.1900,0.2000,379.00,5236.00
KXHIGHTATL-26MAR01-T79,KXHIGHTATL,2026-03-01,1772388000,0.1665,0.1000,0.1000,0.1200,441.00,5513.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772362800,,,0.0000,0.0400,0.00,1300.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772366400,,,0.0000,0.0300,0.00,1300.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772370000,0.0200,0.0200,0.0000,0.0100,33.00,1300.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772373600,0.0100,0.0100,0.0000,0.0200,52.00,1300.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772377200,,,0.0000,0.0200,0.00,1300.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772380800,0.0305,0.0200,0.0000,0.0100,87.00,1301.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772384400,0.0100,0.0100,0.0000,0.0100,239.00,1540.00
KXHIGHTATL-26MAR01-T72,KXHIGHTATL,2026-03-01,1772388000,0.0100,0.0100,0.0000,0.0100,224.00,1764.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772449200,0.0200,0.0200,0.0100,0.0200,100.00,2329.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772452800,,,0.0100,0.0600,0.00,2329.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772456400,0.0288,0.0100,0.0000,0.0100,396.00,2717.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772460000,0.0196,0.0200,0.0200,0.0300,297.00,2954.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772463600,0.0102,0.0100,0.0000,0.0100,491.00,3137.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772467200,,,0.0000,0.0100,0.00,3137.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772470800,0.0100,0.0100,0.0000,0.0100,172.00,3137.00
KXHIGHTATL-26MAR02-B64.5,KXHIGHTATL,2026-03-02,1772474400,0.0100,0.0100,0.0000,0.0100,100.00,3237.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772535600,0.0902,0.0900,0.0800,0.0900,56.00,4119.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772539200,0.0858,0.0600,0.0600,0.0800,183.00,4277.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772542800,0.1041,0.1100,0.1000,0.1100,1411.00,4380.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772546400,0.0810,0.0400,0.0400,0.0500,2192.00,6414.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772550000,0.0575,0.0500,0.0500,0.0600,467.00,6704.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772553600,0.0912,0.0800,0.0900,0.1200,1810.00,7930.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772557200,0.0893,0.1100,0.0700,0.1100,465.00,8226.00
KXHIGHTATL-26MAR03-T63,KXHIGHTATL,2026-03-03,1772560800,0.0524,0.0500,0.0400,0.0500,247.00,8219.00
KXHIGHTATL-26MAR03-T70,KXHIGHTATL,2026-03-03,1772535600,0.0700,0.0700,0.0600,0.0700,5.00,2937.00
KXHIGHTATL-26MAR03-T70,KXHIGHTATL,2026-03-03,1772539200,0.0504,0.0500,0.0500,0.0600,25.00,2962.00
KXHIGHTATL-26MAR03-T70,KXHIGHTATL,2026-03-03,1772542800,0.0499,0.0400,0.0400,0.0600,2888.00,5374.00
KXHIGHTATL-26MAR03-T70,KXHIGHTATL,2026-03-03,1772546400,0.0252,0.0300,0.0100,0.0200,4855.00,8963.00
KXHIGHTATL-26MAR03-T70,KXHIGHTATL,2026-03-03,1772550000,0.0118,0.0200,0.0100,0.0200,756.00,9662.00
