ticker,city,target_date,strike_type,strategy,side,entry_cents,fee_cents,result,won,pnl_per_contract,yes_bid,yes_ask,expiration_value
KXHIGHTATL-26MAR01-B74.5,ATL,2026-03-01,between,lockin_no,no,91,1,no,1,8,9,10,78.00
KXHIGHTATL-26MAR01-B76.5,ATL,2026-03-01,between,lockin_no,no,72,2,no,1,26,28,31,78.00
KXHIGHTATL-26MAR01-B76.5,ATL,2026-03-01,between,legacy,yes,31,2,no,0,-31,28,31,78.00
KXHIGHTATL-26MAR01-B78.5,ATL,2026-03-01,between,legacy,yes,46,2,yes,1,52,40,46,78.00
KXHIGHTATL-26MAR01-T79,ATL,2026-03-01,greater,tail_long,yes,16,1,no,0,-16,15,16,78.00
KXHIGHTATL-26MAR01-T79,ATL,2026-03-01,greater,lockin_no,no,85,1,no,1,14,15,16,78.00
KXHIGHTATL-26MAR02-T69,ATL,2026-03-02,greater,lockin_yes,yes,89,1,yes,1,10,87,89,77.00
KXHIGHTATL-26MAR03-T63,ATL,2026-03-03,less,lockin_no,no,92,1,no,1,7,8,9,63.00
KXHIGHTATL-26MAR04-B75.5,ATL,2026-03-04,between,lockin_no,no,70,2,yes,0,-70,30,31,75.00
KXHIGHTATL-26MAR04-B75.5,ATL,2026-03-04,between,legacy,yes,31,2,yes,1,67,30,31,75.00
KXHIGHTATL-26MAR04-B77.5,ATL,2026-03-04,between,legacy,yes,37,2,no,0,-37,36,37,75.00
KXHIGHTATL-26MAR04-B79.5,ATL,2026-03-04,between,tail_long,yes,16,1,no,0,-16,14,16,75.00
KXHIGHTATL-26MAR04-B79.5,ATL,2026-03-04,between,lockin_no,no,86,1,no,1,13,14,16,75.00
KXHIGHTATL-26MAR05-B77.5,ATL,2026-03-05,between,tail_long,yes,20,2,no,0,-20,18,20,81.00
KXHIGHTATL-26MAR05-B77.5,ATL,2026-03-05,between,lockin_no,no,82,2,no,1,16,18,20,81.00
KXHIGHTATL-26MAR05-B79.5,ATL,2026-03-05,between,legacy,yes,42,2,no,0,-42,40,42,81.00
KXHIGHTATL-26MAR05-B81.5,ATL,2026-03-05,between,lockin_no,no,70,2,yes,0,-70,30,31,81.00
KXHIGHTATL-26MAR05-B81.5,ATL,2026-03-05,between,legacy,yes,31,2,yes,1,67,30,31,81.00
KXHIGHTATL-26MAR06-B79.5,ATL,2026-03-06,between,tail_long,yes,27,2,no,0,-27,23,27,83.00
KXHIGHTATL-26MAR06-B79.5,ATL,2026-03-06,between,lockin_no,no,77,2,no,1,21,23,27,83.00
KXHIGHTATL-26MAR06-B81.5,ATL,2026-03-06,between,legacy,yes,43,2,no,0,-43,40,43,83.00
KXHIGHTATL-26MAR06-B83.5,ATL,2026-03-06,between,tail_long,yes,24,2,yes,1,74,19,24,83.00
KXHIGHTATL-26MAR06-B83.5,ATL,2026-03-06,between,lockin_no,no,81,2,yes,0,-81,19,24,83.00
KXHIGHTATL-26MAR07-B79.5,ATL,2026-03-07,between,lockin_no,no,88,1,no,1,11,12,14,83.00
